frame,frame_index,mask_count,mean_confidence,median_confidence,total_mask_area_percentage_sum,mean_mask_area_percentage,max_mask_area_percentage
000001.png,0,25,0.46294485569000243,0.4433947205543518,87.12667011636083,3.485066804654433,31.236317318791546
000002.png,1,28,0.44531577825546265,0.39362409710884094,78.25365866602979,2.794773523786778,31.25887301145033
000003.png,2,27,0.4429734603122429,0.3929779529571533,80.00039804163517,2.9629777052457467,31.927582958510794
000004.png,3,26,0.4576386511325836,0.44470688700675964,90.87224190316975,3.4950862270449905,32.07485836351816
000005.png,4,24,0.46585412075122196,0.44749729335308075,89.42934097573273,3.7262225406555305,30.970956228688188
000006.png,5,23,0.4808031514934871,0.4606373608112335,77.30233915800927,3.360971267739534,30.31617773885815
000007.png,6,25,0.46069560408592225,0.42981207370758057,90.6864891400974,3.6274595656038957,30.89201130438244
000008.png,7,25,0.4599010813236237,0.4320925772190094,93.23992622961697,3.7295970491846786,31.95743608114742
000009.png,8,24,0.47057519232233364,0.43333378434181213,88.25644495747588,3.6773518732281616,31.822765327919967
000010.png,9,25,0.46960688471794126,0.43489670753479004,95.26993856890765,3.810797542756306,32.2878106383261
000011.png,10,28,0.449107863008976,0.41287294030189514,104.66703817219282,3.7381085061497434,31.480449521686634
000012.png,11,29,0.4525634841672305,0.4032004177570343,84.43988907906434,2.9117203130711844,30.645225490586316
000013.png,12,27,0.45794913945374666,0.4437914490699768,84.69596253101409,3.13688750114867,30.661810558717775
000014.png,13,29,0.4523615847373831,0.41817912459373474,100.38145656702356,3.461429536793916,31.865223102336504
000015.png,14,26,0.4794955001427577,0.4314691126346588,86.11431755761652,3.3120891368314043,30.774589022011703
000016.png,15,27,0.46400057276089984,0.4254586696624756,89.06977669864266,3.2988806184682464,31.890432405896323
000017.png,16,26,0.47778336933025944,0.43894821405410767,88.1655587841155,3.3909830301582886,31.496371187092837
000018.png,17,26,0.4801722879593189,0.4392653554677963,93.92853825843517,3.6126360868628913,36.91504464700341
000019.png,18,26,0.48629454236764175,0.4320458024740219,93.22997518873807,3.5857682764899255,37.26996510501665
000020.png,19,25,0.4860907089710236,0.46161970496177673,106.18556701030927,4.247422680412371,36.82548527909353
000021.png,20,25,0.4940724754333496,0.49856510758399963,98.88083960248908,3.955233584099563,36.97276068410089
000022.png,21,29,0.4623169621516918,0.4264318645000458,101.43759370563495,3.4978480588149985,37.088192758295854
000023.png,22,28,0.4606148504785129,0.43784016370773315,102.46785813796122,3.6595663620700436,36.6218206424392
000024.png,23,30,0.4455564618110657,0.4024328589439392,118.90565086441374,3.963521695480458,36.85533840173015
000025.png,24,27,0.4633492374861682,0.4341324269771576,95.12664358025182,3.5232090214908083,29.635526542743037
000026.png,25,27,0.45911149625424985,0.4043252170085907,84.52745823879843,3.130646601436979,28.91573458583768
000027.png,26,25,0.4737485194206238,0.44426876306533813,79.69125237166475,3.18765009486659,32.625482625482626
000028.png,27,25,0.464902948141098,0.40839704871177673,89.65954172139739,3.5863816688558954,33.671005320489854
000029.png,28,24,0.47248343875010806,0.42671917378902435,79.10148734891001,3.2958953062045837,29.15190595602967
000030.png,29,25,0.4682279098033905,0.42028769850730896,86.3173187915456,3.452692751661824,27.676498295054998
000031.png,30,22,0.4772240614349192,0.45645618438720703,75.43419708368162,3.4288271401673467,27.27447624354841
000032.png,31,23,0.487751137951146,0.42842352390289307,84.87441786410861,3.6901920810482003,28.012180074035744
000033.png,32,25,0.49267796993255614,0.4707861542701721,86.53823189905664,3.4615292759622656,27.85628043360002
000034.png,33,25,0.5005038559436799,0.4751816987991333,90.5796813013308,3.6231872520532318,25.4759914553729
000035.png,34,25,0.4981890892982483,0.43279609084129333,85.41840809882048,3.416736323952819,25.407660974671284
000036.png,35,24,0.5067550179859003,0.4606540948152542,86.1083469330892,3.5878477888787166,25.342647507595963
000037.png,36,25,0.5004845058917999,0.43241989612579346,86.56675821624275,3.46267032864971,23.63504889278085
000038.png,37,26,0.4714374519311465,0.41547369956970215,84.65018774297126,3.2557764516527405,22.954397696665737
000039.png,38,23,0.4764473593753317,0.4334978759288788,84.78154148257242,3.6861539775031487,24.031100319760114
000040.png,39,24,0.4904651405910651,0.42372867465019226,83.86339211081479,3.4943080046172827,23.228383022197455
000041.png,40,23,0.4883163415867349,0.44525307416915894,83.15089758388727,3.615256416690751,22.268439278748556
000042.png,41,22,0.5059152245521545,0.4725872427225113,81.31658904854781,3.6962085931158097,22.178879910838674
000043.png,42,25,0.47811721920967104,0.43784791231155396,83.58542636893154,3.3434170547572615,22.148363385476788
000044.png,43,22,0.5039283524860035,0.4666510820388794,81.43799174727009,3.701726897603186,22.220674282529952
000045.png,44,26,0.465258104296831,0.41653700172901154,105.65683503827833,4.063724424549166,36.88585492709204
000046.png,45,24,0.48693962146838504,0.4171517640352249,99.95157160105614,4.164648816710673,36.665605222306255
000047.png,46,26,0.47520338686612934,0.42393626272678375,103.30109196088578,3.97311892157253,36.61120619883506
000048.png,47,25,0.4595384037494659,0.41335001587867737,93.9504305483687,3.758017221934748,36.42611683848797
000049.png,48,22,0.4763570603999225,0.4400737136602402,75.39041250381457,3.4268369319915717,36.27950483620587
000050.png,49,24,0.4747961113850276,0.4170479029417038,96.76060449256326,4.0316918538568025,36.148814499329966
000051.png,50,24,0.47659482558568317,0.4315219521522522,99.71141981451261,4.154642492271359,35.024346880016985
000052.png,51,23,0.47963936173397564,0.43947964906692505,94.64302299353845,4.114914043197324,35.44295399965503
000053.png,52,23,0.47368260699769726,0.42312556505203247,98.51596810359698,4.283302961025956,35.056853613554644
000054.png,53,28,0.4463296979665756,0.40073658525943756,102.33252398200852,3.654732999357447,34.88901272406427
000055.png,54,23,0.47655545758164447,0.45381006598472595,100.94402207804268,4.38887052513229,34.485663867107164
000056.png,55,23,0.47508779297704284,0.44422489404678345,100.65146147620375,4.37615049896538,34.422640608207615
000057.png,56,21,0.47866295490946087,0.4406937062740326,94.83939020021496,4.516161438105475,34.073027371996446
000058.png,57,20,0.48688618242740633,0.4526374787092209,96.93773302020723,4.846886651010362,33.874006554418926
000059.png,58,23,0.48250585405722907,0.47979360818862915,102.66953256643978,4.463892720279991,33.32669930608075
000060.png,59,21,0.4908531066917238,0.4647555351257324,98.75412968196474,4.702577603903083,32.92600406002468
000061.png,60,25,0.4672408807277679,0.47619277238845825,101.27107962159509,4.050843184863804,32.5047433294856
000062.png,61,24,0.47513266528646153,0.46265244483947754,97.20243070758534,4.050101279482722,29.36684843901339
000063.png,62,23,0.4860550527987273,0.4385984539985657,93.21272671788135,4.052727248603537,25.97487030476721
000064.png,63,24,0.4810754532615344,0.45688341557979584,108.94532234738418,4.539388431141007,29.97850575170163
000065.png,64,25,0.48842604994773864,0.4447862505912781,93.09928485186218,3.7239713940744874,26.321829930077353
000066.png,65,25,0.4843692719936371,0.45797404646873474,101.14569650652125,4.04582786026085,26.061112659050803
000067.png,66,24,0.4832901321351528,0.4779970198869705,96.46804389072432,4.01950182878018,28.459313510859904
000068.png,67,20,0.522798652946949,0.5161420702934265,93.65123591927716,4.682561795963858,27.756106622086005
000069.png,68,20,0.5237761437892914,0.5209577679634094,94.12755907601269,4.706377953800635,27.123220422189494
000070.png,69,23,0.48631132815195166,0.4504406154155731,94.43206092690629,4.1057417794307085,22.127134498268518
000071.png,70,21,0.5039049017997015,0.47417595982551575,88.17285621409333,4.198707438766349,20.379731719937904
000072.png,71,21,0.49432683558691115,0.46837446093559265,89.20113043824382,4.247672878011611,20.428160118881767
000073.png,72,19,0.5138557631718484,0.494695782661438,85.90932611551167,4.521543479763772,20.3989703989704
000074.png,73,20,0.4871643602848053,0.4577813893556595,93.35005108200986,4.667502554100492,20.089161326274727
000075.png,74,20,0.4848958045244217,0.4530007243156433,82.616194987329,4.13080974936645,19.752816144568722
000076.png,75,22,0.46769022128798743,0.4505036175251007,99.91972827024371,4.5418058304656235,19.348803884886358
000077.png,76,23,0.4664642538713372,0.41803425550460815,102.9786782364102,4.477333836365661,19.002507662301475
000078.png,77,24,0.45689353595177334,0.4086942821741104,94.55346362562858,3.9397276510678574,18.699996019583647
000079.png,78,20,0.47086229622364045,0.42204196751117706,88.73210471148616,4.436605235574308,18.837983786437395
000080.png,79,22,0.45633068680763245,0.41242648661136627,88.52644986665604,4.023929539393456,19.006488078653028
000081.png,80,21,0.4542052745819092,0.41708189249038696,83.66967851503935,3.9842704054780644,19.722299619206836
000082.png,81,19,0.4557775102163616,0.4163590967655182,82.32562459366584,4.332927610192939,19.186270217198054
000083.png,82,20,0.4548004522919655,0.3860636502504349,104.63784845228145,5.231892422614072,20.098448964428346
000084.png,83,19,0.4708165996953061,0.40627121925354004,84.38549005559315,4.441341581873324,20.7863975905213
000085.png,84,18,0.48111377987596726,0.4225619286298752,85.30430283007604,4.739127935004224,20.215871246799082
000086.png,85,20,0.4562412738800049,0.4113099128007889,101.16692539372953,5.058346269686476,18.003423158062333
000087.png,86,17,0.4916386937393862,0.43470704555511475,65.03137894890473,3.8253752322885135,16.310419403202907
000088.png,87,23,0.4399781576965166,0.42372122406959534,109.40373363053776,4.756684070892946,16.236781700699225
000089.png,88,19,0.4776994319338548,0.42660921812057495,76.84857169393253,4.044661668101712,16.96718810120872
000090.png,89,20,0.4430413797497749,0.4199998825788498,75.26502938874073,3.7632514694370363,17.78051984237551
000091.png,90,17,0.4520311250406153,0.4279344975948334,72.32217489949448,4.254245582323205,18.138093911289786
000092.png,91,22,0.42014691775495355,0.40214721858501434,71.2215897782908,3.2373449899223092,18.081041276917567
000093.png,92,23,0.40876265712406323,0.3797881305217743,77.8821531398851,3.3861805712993522,17.94305351006382
000094.png,93,24,0.4172266448537509,0.3808916211128235,80.66512757234406,3.3610469821810027,17.738725470684233
000095.png,94,23,0.43200525641441345,0.39192163944244385,77.992277992278,3.390968608359913,17.31547453196938
000096.png,95,21,0.44275209591502235,0.40458035469055176,75.25507834786184,3.5835751594219922,16.494181958099485
000097.png,96,26,0.422488571359561,0.40576261281967163,92.35693720229803,3.552189892396078,15.257599278217835
000098.png,97,28,0.40924100258520674,0.3752965033054352,94.962783107113,3.3915279681111783,13.708553914739483
000099.png,98,24,0.40487485254804295,0.3743045777082443,99.24239408775492,4.135099753656455,21.68464488052117
000100.png,99,21,0.4226592679818471,0.39381641149520874,95.37475619949846,4.541655057118975,19.227401186164073
000101.png,100,20,0.42474105805158613,0.40322013199329376,105.37555228276878,5.268777614138439,20.087834520824213
000102.png,101,20,0.4263966828584671,0.41198140382766724,86.72332125940373,4.336166062970187,22.06477464209423
000103.png,102,23,0.4089452546575795,0.3776780068874359,122.10126179198345,5.308750512694933,23.74716395334952
000104.png,103,21,0.4278006142094022,0.379565954208374,110.8811314996882,5.280053880937533,25.018243574944606
000105.png,104,19,0.4456317142436379,0.3918229341506958,123.31528877920631,6.490278356800332,25.765898446310818
000106.png,105,16,0.4569966457784176,0.42612801492214203,117.206676485027,7.325417280314188,26.494978041369794
000107.png,106,16,0.4479583203792572,0.4299246221780777,141.05202404171476,8.815751502607172,27.14113229577147
000108.png,107,14,0.45255619074617115,0.4482018053531647,103.01649219174992,7.35832087083928,27.792593771975216
000109.png,108,18,0.41951800882816315,0.3643609285354614,100.62757897809443,5.59042105433858,28.388329419257254
000110.png,109,16,0.4362287987023592,0.3923424184322357,98.02969390598255,6.12685586912391,28.873276811421142
000111.png,110,17,0.4256892642554115,0.3993636667728424,91.840809882047,5.402400581296882,29.331024691849436
000112.png,111,16,0.405577065423131,0.39226776361465454,55.565285462192676,3.4728303413870423,29.74565139513593
000113.png,112,16,0.402855034917593,0.38395193219184875,76.24885563029892,4.7655534768936825,30.091284214995554
000114.png,113,17,0.3949573460747214,0.36904823780059814,91.27957117647838,5.369386539792846,29.769533893245235
000115.png,114,15,0.4081597109635671,0.3852454125881195,85.06017062718094,5.670678041812063,28.850721118762355
000116.png,115,17,0.3947707309442408,0.360240638256073,84.48831747800818,4.969901028118128,27.835051546391753
000117.png,116,17,0.3989104663624483,0.36382195353507996,63.427271159229925,3.7310159505429366,26.708593718902996
000118.png,117,15,0.41348974108695985,0.397625595331192,66.0059175523093,4.400394503487287,25.568867836909074
000119.png,118,18,0.3941466957330704,0.3593067526817322,88.87075588106516,4.937264215614731,24.30906606164338
000120.png,119,15,0.41041690508524575,0.3958350718021393,88.44485133144927,5.896323422096618,23.212461356791255
000121.png,120,15,0.41023265322049457,0.3842197358608246,83.050060369648,5.536670691309866,22.194801576244874
000122.png,121,18,0.4046765449974272,0.379596084356308,109.28763815361754,6.071535452978752,21.41132295771471
000123.png,122,15,0.43438007632891334,0.395189106464386,85.29700540009819,5.6864670266732125,21.56987620905147
000124.png,123,17,0.4107449983849245,0.3579956591129303,105.61968448566387,6.212922616803757,21.66805981238971
000125.png,124,17,0.4034242559881771,0.3579457104206085,104.80502593904656,6.165001525826268,21.724449044036675
000126.png,125,21,0.468584900810605,0.43437713384628296,119.60156032320978,5.695312396343323,29.420584059759317
000127.png,126,20,0.4794027790427208,0.44346392154693604,114.07873263543367,5.7039366317716835,26.67542358264008
000128.png,127,21,0.44837006500789095,0.41871002316474915,119.1517732754846,5.673893965499267,24.231447942788147
000129.png,128,21,0.4571462741919926,0.42606502771377563,118.3417585479441,5.635321835616385,21.598402526237578
000130.png,129,19,0.47664903496441086,0.43590301275253296,99.88257771762927,5.256977774612067,18.986585996895275
000131.png,130,20,0.4777957335114479,0.45405691862106323,115.10103623505682,5.755051811752841,17.62462020193979
000132.png,131,18,0.4918282876412074,0.46234628558158875,115.37236794968753,6.409575997204863,28.07653013838581
000133.png,132,17,0.4959883935311261,0.47537490725517273,80.70559513858483,4.74738794932852,28.619193567647176
000134.png,133,18,0.5058878014485041,0.4812759459018707,83.80036885191525,4.655576047328625,20.32334248829094
000135.png,134,18,0.5055688321590424,0.48143820464611053,89.72190157757167,4.98455008764287,27.68843954410965
000136.png,135,17,0.5182154844788944,0.47658684849739075,88.46674362138279,5.203926095375458,26.60377608831217
000137.png,136,18,0.5151149978240331,0.4928763508796692,77.08872348047605,4.2827068600264475,24.2354283591397
000138.png,137,16,0.5425779838114977,0.49336862564086914,74.13923496397723,4.633702185248577,23.351112526370258
000139.png,138,17,0.5482095006634208,0.4908926486968994,74.9658347596492,4.409754985861717,22.00639520227149
000140.png,139,18,0.5396387626727422,0.49466925859451294,79.37746288261751,4.409859049034306,19.677188233889265
000141.png,140,16,0.5624104458838701,0.49671658873558044,69.49939630352,4.34371226897,17.456115909724158
000142.png,141,15,0.5544165770212809,0.49867281317710876,75.7168066446417,5.04778710964278,17.397736469901417
000143.png,142,16,0.5359908230602741,0.5066164433956146,73.55544056574985,4.5972150353593655,17.010972681075774
000144.png,143,15,0.5140195945898692,0.48492538928985596,71.08360201143707,4.738906800762471,16.687232151149676
000145.png,144,15,0.5219371338685354,0.5112908482551575,67.77852963419974,4.518568642279983,16.427841685573643
000146.png,145,18,0.47739630772007835,0.46516911685466766,68.16197640939909,3.7867764671888384,16.12864705648211
000147.png,146,16,0.4917125999927521,0.4652918130159378,63.55464448247953,3.9721652801549707,15.749180697634307
000148.png,147,12,0.5564247493942579,0.5172473788261414,58.31442635566347,4.859535529638623,15.331900383446776
000149.png,148,14,0.5273707658052444,0.4922187179327011,100.56322891374438,7.18308777955317,47.46182117316138
000150.png,149,12,0.5620920980970064,0.5158569514751434,41.67827621435869,3.4731896845298906,14.458198994281469
