frame,frame_index,mask_count,mean_confidence,median_confidence,total_mask_area_percentage_sum,mean_mask_area_percentage,max_mask_area_percentage
000001.png,0,26,0.455047057225154,0.4389592707157135,92.86974750892277,3.571913365727799,31.236980721516804
000002.png,1,28,0.4439972160117967,0.39333681762218475,78.27820456686435,2.795650163102298,31.276784885032306
000003.png,2,27,0.4427520180190051,0.39652568101882935,80.01631970704136,2.9635673965570875,31.94217781846648
000004.png,3,27,0.4516387063044089,0.4374091327190399,99.88655813398083,3.699502153110401,32.08149239077074
000005.png,4,24,0.46452969188491505,0.447686567902565,97.46911860313922,4.061213275130801,30.987541296819646
000006.png,5,22,0.4859954078089107,0.45402345061302185,76.2223195212886,3.4646508873312998,30.306890100704532
000007.png,6,27,0.4495960705810123,0.4199097752571106,98.42707213841233,3.6454471162374937,30.886040679855114
000008.png,7,24,0.4656212714811166,0.43202129006385803,92.68134113494938,3.8617225472895575,31.99525003648715
000009.png,8,24,0.46963554124037427,0.42801740765571594,88.34136050630897,3.680890021096207,31.841340604227202
000010.png,9,25,0.46935867428779604,0.42357683181762695,95.30775252424736,3.8123101009698943,32.32960501001738
000011.png,10,28,0.44883731859070913,0.41342465579509735,104.59273706696386,3.735454895248709,31.475142299884567
000012.png,11,29,0.4527268121982443,0.4081583023071289,84.42861123273494,2.911331421818446,30.632620838806407
000013.png,12,27,0.45801863074302673,0.4440428912639618,84.68269447650891,3.136396091722552,30.653849726014673
000014.png,13,29,0.4524039821378116,0.4146680235862732,100.39273441335297,3.461818428046654,31.884461781368998
000015.png,14,26,0.478901390845959,0.43031708896160126,86.1182979739681,3.3122422297680036,30.778569438363252
000016.png,15,27,0.4647577780264395,0.4254755675792694,89.05916225503854,3.2984874909273536,31.89308601679736
000017.png,16,26,0.4778159730709516,0.43688343465328217,88.13172524512731,3.3896817401972044,31.460547439928884
000018.png,17,26,0.48138736417660344,0.43252652883529663,93.92853825843517,3.6126360868628913,36.91769825790444
000019.png,18,27,0.4789948794576857,0.425274133682251,94.43935835688414,3.4977540132179312,37.261340869588295
000020.png,19,25,0.4845694363117218,0.45162469148635864,106.18291339940824,4.24731653597633,36.82415847364301
000021.png,20,25,0.49330655097961423,0.49325230717658997,99.15814194164709,3.9663256776658837,36.99133596040812
000022.png,21,29,0.46137131801966963,0.4353831112384796,101.43294988655813,3.497687927122694,37.0842123419443
000023.png,22,28,0.4612286921058382,0.44118112325668335,102.45326327800552,3.6590451170716256,36.62049383698868
000024.png,23,30,0.4450687954823176,0.4017390012741089,118.8744709363266,3.96248236454422,36.83079250089559
000025.png,24,25,0.478342159986496,0.4358982741832733,77.55973941540952,3.102389576616381,29.61761466916106
000026.png,25,27,0.4598944805286549,0.4052298069000244,84.53342886332578,3.1308677356787324,28.926349029441813
000027.png,26,25,0.47283854126930236,0.44042834639549255,79.73371014608128,3.1893484058432513,32.67391102442649
000028.png,27,26,0.45823876101237077,0.40556326508522034,91.00558585094667,3.500214840421026,33.633854767875384
000029.png,28,24,0.4727340030173461,0.4226176291704178,79.10281415436053,3.295950589765022,29.149915747853893
000030.png,29,25,0.4686895549297333,0.4154288172721863,86.32793323514973,3.4531173294059894,27.689102946834904
000031.png,30,23,0.47032209453375445,0.4505331218242645,76.07172710265495,3.3074663957676065,27.271159229922116
000032.png,31,23,0.4884050786495209,0.4268030822277069,84.90825140309678,3.691663104482469,28.040042988496598
000033.png,32,25,0.4932358419895172,0.4638444185256958,86.53823189905664,3.4615292759622656,27.854953628149506
000034.png,33,25,0.49944059014320374,0.4720582365989685,90.57371067680346,3.622948427072138,25.472674441746605
000035.png,34,25,0.4996038568019867,0.433878093957901,85.4243787233478,3.416975148933912,25.410977988297574
000036.png,35,24,0.5044778312246004,0.4603198766708374,86.0877814486062,3.5869908936919246,25.317438204036144
000037.png,36,25,0.5010637152194977,0.4364197552204132,86.5740556462206,3.462962225848824,23.633058684605075
000038.png,37,26,0.4717149081138464,0.4132346361875534,84.64090010481763,3.2554192348006783,22.952407488489964
000039.png,38,23,0.47478876554447674,0.43262967467308044,84.77490745531985,3.6858655415356454,24.016505459804428
000040.png,39,23,0.49967265129089355,0.4283161759376526,83.30812402977351,3.6220923491205874,23.219095384043836
000041.png,40,24,0.47969512020548183,0.4392359107732773,83.51245206915308,3.4796855028813787,22.268439278748556
000042.png,41,22,0.5064423151991584,0.47477029263973236,81.28872613408696,3.6949420970039526,22.178879910838674
000043.png,42,25,0.47853549718856814,0.439172625541687,83.58476296620626,3.3433905186482504,22.149026788202047
000044.png,43,23,0.4952812298484471,0.45677629113197327,81.89308601679735,3.560568957252059,22.219347477079435
000045.png,44,26,0.4644615203142166,0.4066585302352905,105.6541814273773,4.063622362591435,36.88784513526782
000046.png,45,24,0.48689791311820346,0.4162217974662781,99.95422521195718,4.164759383831549,36.664941819580996
000047.png,46,26,0.4751155972480774,0.41779737174510956,103.30639918268785,3.9733230454879944,36.61784022608765
000048.png,47,25,0.4597772347927094,0.40627747774124146,93.95971818652232,3.758388727460893,36.42611683848797
000049.png,48,21,0.48345736804462613,0.4330855906009674,74.59233902532873,3.5520161440632725,36.280168238931125
000050.png,49,24,0.47505758206049603,0.4137692153453827,96.75397046531067,4.031415436054611,36.14284387480264
000051.png,50,24,0.4752981538573901,0.4268500953912735,99.69483474638113,4.1539514477658805,34.99714736828139
000052.png,51,24,0.47224577764670056,0.42567847669124603,95.17241836829466,3.9655174320122772,35.44295399965503
000053.png,52,23,0.47468172726423846,0.42717763781547546,98.4900953973119,4.282178060752692,35.049556183576804
000054.png,53,27,0.4524892171223958,0.4054279029369354,100.30383844816835,3.7149569795617907,34.882378696811685
000055.png,54,22,0.4835834381255237,0.44877728819847107,98.90339529514786,4.495608877052176,34.47637622895355
