label,mask_count,percentage_of_all_masks,mean_confidence,median_confidence,min_confidence,max_confidence,mean_area_percentage,median_area_percentage,min_area_percentage,max_area_percentage
pillow,479,14.861929878994726,0.4155973899712891,0.4109779894351959,0.3004360496997833,0.641548752784729,0.43202336640125844,0.3124626835967042,0.040467566240762115,2.719951173559421
lamp,253,7.849829351535837,0.5105911966840269,0.49910905957221985,0.3008401393890381,0.7862005829811096,0.44066984900691764,0.22223991296156245,0.01990208175775186,3.7979806021043134
chair,244,7.570586410176854,0.5870949056793432,0.6109298467636108,0.30250874161720276,0.7829275131225586,3.334601955102209,1.325810346428903,0.04975520439437965,21.68464488052117
cup,242,7.508532423208191,0.4231919903646816,0.43166379630565643,0.3003003001213074,0.5897858738899231,0.12298993086247072,0.06833048070161472,0.02587270628507742,0.849155488330746
picture frame,234,7.26031647533354,0.39121732383202285,0.3871486186981201,0.30021557211875916,0.5266820788383484,2.3274492346657296,0.6922607438071355,0.04444798259231249,23.1607159442211
door,192,5.957182748991623,0.5012150718830526,0.4803891032934189,0.3013756573200226,0.7039973139762878,2.621819398559089,1.1201555015988007,0.3443060144091072,29.420584059759317
floor,180,5.584858827179646,0.4494836355249087,0.4661259204149246,0.3004218637943268,0.6370788812637329,22.313488009364296,23.08243442264061,0.4265679523411482,37.261340869588295
ceiling,162,5.026372944461682,0.6315145556941445,0.6880860030651093,0.30030378699302673,0.7251328229904175,16.27554980934133,18.353368095636135,0.7204553596306174,23.51099258315753
bed,143,4.436860068259386,0.49435796166633394,0.4205853343009949,0.30094635486602783,0.8771892189979553,3.848436322663127,1.72816409929812,0.07761811885523226,47.46381138133715
desk,123,3.8163201985727584,0.36900573823510147,0.36469122767448425,0.3018754720687866,0.5212213397026062,0.6925978386878563,0.43784579867054096,0.05174541257015484,5.934137377436347
rug,122,3.785293205088427,0.5505857450551674,0.5600751042366028,0.32060596346855164,0.7421911358833313,9.749496955851527,9.307540235375289,0.17580172219347476,19.265215141503802
sofa,115,3.5681042506981075,0.6136404747548311,0.6710038185119629,0.3047311305999756,0.857097864151001,5.049746551315356,4.703525322082023,0.5492974565139513,13.15527604187398
mirror,100,3.102699348433137,0.36161502480506896,0.350363627076149,0.30054837465286255,0.48097214102745056,2.237345593015696,1.6654725417612015,0.4922448221417294,18.345738964295666
plant,93,2.885510394042817,0.6320943005623356,0.712547779083252,0.3082815408706665,0.8147569298744202,0.34688115832113176,0.3542570552879831,0.04577478804282928,0.7980734784858496
