label,mask_count,percentage_of_all_masks,mean_confidence,median_confidence,min_confidence,max_confidence,mean_area_percentage,median_area_percentage,min_area_percentage,max_area_percentage
pillow,478,14.835505896958411,0.41568034357356226,0.4116239994764328,0.30086570978164673,0.6492283344268799,0.42749227496671743,0.30914566997041226,0.040467566240762115,2.719951173559421
lamp,252,7.82122905027933,0.5108079542479818,0.4992073029279709,0.3002210855484009,0.7872176170349121,0.4415655925228827,0.22290331568682084,0.01990208175775186,3.7979806021043134
chair,244,7.572936064556176,0.5873536189071468,0.6116953790187836,0.3003897964954376,0.7781001925468445,3.3345176703297374,1.325810346428903,0.04975520439437965,21.68464488052117
cup,241,7.479826194909994,0.4235553505262399,0.43202370405197144,0.3002607822418213,0.5909128189086914,0.12325802418628701,0.06833048070161472,0.02587270628507742,0.849155488330746
picture frame,222,6.890130353817504,0.39442241446928933,0.39476995170116425,0.30038928985595703,0.5274348258972168,2.2799836814882783,0.6587589061815866,0.04444798259231249,23.169340179649456
door,190,5.896958410924891,0.5048323841471422,0.48866482079029083,0.30492690205574036,0.7018181681632996,2.763166623720069,1.1413843888070692,0.3443060144091072,29.420584059759317
floor,180,5.58659217877095,0.4497664468155967,0.4681084603071213,0.30036380887031555,0.6364982724189758,22.35272090942194,23.083429526728494,0.42723135506640664,37.26996510501665
ceiling,161,4.996896337678461,0.6337878642985539,0.6885308623313904,0.30128714442253113,0.727450966835022,16.350779836084314,18.469795273918987,0.7204553596306174,23.51099258315753
bed,146,4.531346989447548,0.49073556106384486,0.4182891696691513,0.3041516840457916,0.88246750831604,3.799302863700548,1.755031909671085,0.07761811885523226,47.46182117316138
rug,123,3.817504655493482,0.547951808547586,0.5577020049095154,0.32070136070251465,0.740551233291626,9.740332307594063,9.253804614629358,0.17580172219347476,19.265215141503802
desk,123,3.817504655493482,0.3686869323738222,0.3626641631126404,0.30104416608810425,0.523198664188385,0.6795239508339836,0.43651899322002413,0.05174541257015484,5.934137377436347
sofa,117,3.631284916201117,0.6089520296479902,0.6551607847213745,0.30020958185195923,0.8547511100769043,5.0861159108581795,4.703525322082023,0.548634053788693,13.156602847324496
mirror,105,3.258845437616387,0.36232554316520693,0.3550233542919159,0.3001940846443176,0.47924336791038513,2.233203116855547,1.6691212567501228,0.4922448221417294,18.345738964295666
plant,93,2.8864059590316575,0.6323481339921233,0.7135871648788452,0.30710846185684204,0.8140296936035156,0.3468383581453086,0.3542570552879831,0.04577478804282928,0.7980734784858496
window,88,2.7312228429546863,0.3810921951451085,0.37002429366111755,0.30124175548553467,0.5572474598884583,1.6213261058621882,1.3049131605832636,0.32639414082713053,21.141318048534544
wall,87,2.7001862197392925,0.3614104698444235,0.33790910243988037,0.30035853385925293,0.5129707455635071,11.169322793922865,10.595204925101832,1.6498825777176294,21.757619180299592
shelf cabinet bookshelf,79,2.451893234016139,0.41525912775269036,0.4238970875740051,0.3086787164211273,0.5005998611450195,1.1486944150391885,1.0495031113587814,0.09685679788772572,5.979912165479176
table desk,76,2.3587833643699567,0.37756960839033127,0.3614469915628433,0.30279043316841125,0.5055601000785828,3.1011458710861857,2.199843436956839,0.1154320741949608,13.892316469636057
monitor television,43,1.3345747982619491,0.5102988973606465,0.5308307409286499,0.30245205760002136,0.6818918585777283,0.9233485977672025,0.9811726306571668,0.07894492430574905,1.6220196632567767
curtain,43,1.3345747982619491,0.4051624162252559,0.3853064179420471,0.3000277280807495,0.7375005483627319,1.645624457899692,1.4322864838328755,0.08425214610781621,3.2493465483156205
sofa bed,26,0.8069522036002483,0.43886098724145156,0.41484522819519043,0.3082738518714905,0.6478047966957092,2.002021847382672,2.0230466106754768,0.7390306359378525,3.0297602462550914
sink,20,0.6207324643078833,0.34531071931123736,0.3417913168668747,0.3021410405635834,0.404077410697937,0.0988470060635009,0.06965728615213151,0.025209303559819023,0.24081518926879752
chair sofa,11,0.3414028553693358,0.4004539901560003,0.3680274784564972,0.3040662705898285,0.6027444005012512,7.061982319714279,4.945667316801337,1.7746022900662075,17.738725470684233
